ra,dec,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err
88.83594,29.07947,5555.3,132.76,4.344,0.46,0.003,0.181,-22.89,19.62
88.76256,29.28115,6756.49,149.63,3.932,0.387,-0.371,0.207,1.73,30.91
89.05794,29.360067,6155.82,179.88,4.1,0.572,-0.022,0.172,17.01,26.54
88.85807,29.374714,6460.48,146.19,3.731,0.429,-0.27,0.209,31.64,26.45
89.07469,29.276966,4787.54,67.59,4.637,0.226,0.223,0.098,-6.79,8.84
88.79433,29.416742,6666.69,162.88,4.088,0.343,-0.166,0.196,40.25,23.04
88.86755,29.453753,5812.64,153.95,4.322,0.434,0.017,0.183,22.39,13.52
89.006134,29.537933,7496.36,208.68,3.839,0.313,-0.186,0.257,34.59,21.94
89.050705,29.39272,5913.03,158.94,3.913,0.603,-0.015,0.159,-37.05,19.71
89.62731,29.17372,5112.18,127.05,2.507,0.618,-0.131,0.188,29.19,14.27
89.36762,29.098866,4459.43,60.67,2.234,0.477,-0.356,0.104,-11.25,12.48
89.25795,29.146355,6146.21,167.39,3.933,0.475,-0.176,0.191,8.73,16.42
89.36708,29.286974,4470.71,67.36,2.233,0.373,-0.127,0.1,-53.87,9.53
89.622795,29.258347,5267.64,160.06,3.703,0.591,-0.139,0.196,28.47,15.03
89.24115,28.370613,5842.72,173.11,4.109,0.576,-0.237,0.186,18.35,19.03
89.6354,28.544119,8220.17,207.23,4.806,0.241,0.013,0.296,21.66,44.19
89.33223,28.41064,7161.65,126.76,3.606,0.377,0.526,0.105,8.04,16.32
89.32769,28.51364,7995.28,315.85,4.484,0.321,0.099,0.258,26.76,15.14
89.32711,28.328468,5669.08,117.23,4.432,0.474,0.014,0.131,7.27,14.46
89.526794,28.559204,8344.97,215.86,3.501,0.622,-0.053,0.206,19.5,27.57
89.41234,28.36797,5018.47,113.14,2.617,0.672,-0.384,0.175,-56.43,15.84
89.2361,28.58842,5193.15,164.71,3.885,0.416,0.004,0.212,12.29,8.58
89.51722,28.6485,6178.56,152.94,4.086,0.477,-0.094,0.146,12.44,15.98
89.72186,28.59684,5572.56,225.37,4.025,0.61,-0.04,0.239,54.07,15.9
89.39938,28.761707,4273.07,43.95,1.864,0.303,-0.214,0.078,36.04,8.15
88.91765,28.32312,5981.46,142.02,4.275,0.486,0.005,0.14,13.79,15.02
89.042274,28.557573,4915.32,131.03,3.176,0.483,-0.087,0.174,18.34,9.37
88.638306,28.543814,5486.69,124.94,3.644,0.474,-0.038,0.161,15.33,10.42
88.88443,28.514484,6097.7,131.67,3.869,0.544,0.145,0.12,20.42,18.11
88.39055,28.998255,6476.62,222.61,4.724,0.338,0.058,0.206,11.9,15.67
88.7192,28.893095,4733.39,100.38,1.576,0.428,-0.67,0.172,-50.7,10.04
88.693695,28.915821,7964.87,204.95,4.186,0.368,-0.079,0.213,11.72,33.81
88.57346,28.992462,4221.27,39.67,1.634,0.388,-0.307,0.084,6.64,10.22
88.52969,28.84535,5536.26,134.08,3.62,0.544,-0.095,0.178,12.67,14.32
88.92981,29.015997,8387.43,201.62,4.53,0.292,-0.091,0.343,-4.29,48.69
88.69966,28.86784,4358.95,57.16,1.718,0.313,0.05,0.091,-22.53,8.28
88.81323,28.851059,7006.94,180.05,4.52,0.327,-0.083,0.219,-11.66,41.52
88.74289,28.80117,4819.11,93.59,2.423,0.532,-0.198,0.144,27.87,12.23
88.91238,28.671547,6280.64,188.29,3.841,0.508,-0.049,0.21,-25.52,26.12
88.86977,28.804314,4912.06,106.09,2.497,0.474,-0.104,0.162,-49.49,9.8
